Tid ;FT0030 Flow : (M³/t)
00:00:00;180
00:00:05;116.8
00:00:10;116.8
00:00:15;116.8
00:00:20;116.8
00:00:25;116.8
00:00:30;116.8
00:00:35;116.8
00:00:40;116.8
00:00:45;116.8
00:00:50;116.8
00:00:55;116.8
00:01:00;116.8
00:01:05;116.8
00:01:10;116.8
00:01:15;116.8
00:01:20;116.8
00:01:25;116.8
00:01:30;116.8
00:01:35;116.8
00:01:40;116.8
00:01:45;116.8
00:01:50;116.8
00:01:55;116.8
00:02:00;116.8
00:02:05;116.8
00:02:10;116.8
00:02:15;116.8
00:02:20;116.8
00:02:25;116.8
00:02:30;116.8
00:02:35;116.8
00:02:40;116.8
00:02:45;116.8
00:02:50;116.8
00:02:55;116.8
00:03:00;116.8
00:03:05;116.8
00:03:10;116.8
00:03:15;116.8
00:03:20;116.8
00:03:25;116.8
00:03:30;116.8
00:03:35;116.8
00:03:40;116.8
00:03:45;116.8
00:03:50;116.8
00:03:55;116.8
00:04:00;116.8
00:04:05;116.8
00:04:10;116.8
00:04:15;116.8
00:04:20;116.8
00:04:25;116.8
00:04:30;116.8
00:04:35;116.8
00:04:40;116.8
00:04:45;116.8
00:04:50;116.8
00:04:55;116.8
00:05:00;116.8
00:05:05;108.5
00:05:10;108.5
00:05:15;108.5
00:05:20;108.5
00:05:25;108.5
00:05:30;108.5
00:05:35;108.5
00:05:40;108.5
00:05:45;108.5
00:05:50;108.5
00:05:55;108.5
00:06:00;108.5
00:06:05;108.5
00:06:10;108.5
00:06:15;108.5
00:06:20;108.5
00:06:25;108.5
00:06:30;108.5
00:06:35;108.5
00:06:40;108.5
00:06:45;108.5
00:06:50;108.5
00:06:55;108.5
00:07:00;108.5
00:07:05;108.5
00:07:10;108.5
00:07:15;108.5
00:07:20;108.5
00:07:25;108.5
00:07:30;108.5
00:07:35;108.5
00:07:40;108.5
00:07:45;108.5
00:07:50;108.5
00:07:55;108.5
00:08:00;108.5
00:08:05;108.5
00:08:10;108.5
00:08:15;108.5
00:08:20;108.5
00:08:25;108.5
00:08:30;108.5
00:08:35;108.5
00:08:40;108.5
00:08:45;108.5
